Accuracy: 0.3433333333333333
Accuracy: 0.37373737373737376

Starting epoch 0
tensor(1.1443, grad_fn=<NllLossBackward>)
tensor(1.0842, grad_fn=<NllLossBackward>)
tensor(1.0238, grad_fn=<NllLossBackward>)
tensor(1.1279, grad_fn=<NllLossBackward>)
tensor(0.6676, grad_fn=<NllLossBackward>)
tensor(0.3790, grad_fn=<NllLossBackward>)
tensor(0.7917, grad_fn=<NllLossBackward>)
tensor(1.0954, grad_fn=<NllLossBackward>)
tensor(1.0757, grad_fn=<NllLossBackward>)
tensor(0.3619, grad_fn=<NllLossBackward>)
tensor(0.8050, grad_fn=<NllLossBackward>)
tensor(1.1342, grad_fn=<NllLossBackward>)
tensor(0.1430, grad_fn=<NllLossBackward>)
tensor(0.4353, grad_fn=<NllLossBackward>)
tensor(0.2004, grad_fn=<NllLossBackward>)
tensor(1.0773, grad_fn=<NllLossBackward>)
tensor(1.1621, grad_fn=<NllLossBackward>)
tensor(0.9996, grad_fn=<NllLossBackward>)
tensor(2.5875, grad_fn=<NllLossBackward>)
tensor(2.5096, grad_fn=<NllLossBackward>)
tensor(2.0534, grad_fn=<NllLossBackward>)
tensor(0.5607, grad_fn=<NllLossBackward>)
tensor(0.3658, grad_fn=<NllLossBackward>)
tensor(1.0912, grad_fn=<NllLossBackward>)
tensor(0.9536, grad_fn=<NllLossBackward>)
tensor(0.5703, grad_fn=<NllLossBackward>)
tensor(0.1363, grad_fn=<NllLossBackward>)
tensor(0.7381, grad_fn=<NllLossBackward>)
tensor(1.4117, grad_fn=<NllLossBackward>)
tensor(0.8650, grad_fn=<NllLossBackward>)
tensor(0.4544, grad_fn=<NllLossBackward>)
tensor(0.6988, grad_fn=<NllLossBackward>)
tensor(1.1345, grad_fn=<NllLossBackward>)
tensor(0.8643, grad_fn=<NllLossBackward>)
tensor(0.2210, grad_fn=<NllLossBackward>)
tensor(0.1757, grad_fn=<NllLossBackward>)
